Number,Done,Text ID,Transliteration ID,,,First round,Second round
A000780,,,,,,,
A000781,,,,,,,
A000782,,,,,,,
A000783,,,,,,,
A000784,,,,,,,
A000785,,,,,,,
A000786,,,,,,,
A000787,,,,,,,
A000788,,,,,,,
A000789,,,,,,,
A000790,,,,,,,
A000791,,,,,,,
A000792,,,,,,,
A000793,,,,,,,
A000794,,,,,,,
A000795,,,,,,,
A000796,,,,,,,
A000797,,,,,,,
A000798,,,,,,,
A000799,,,,,,,
A000800,,,,,,,
A000801,,,,,,,
A000802,,,,,,,
A000803,,,,,,,
A000804,,,,,,,
A000805,,,,,,,
A000806,,,,,,,
A000807,,,,,,,
A000808,,,,,,,
A000809,,,,,,,
A000810,,,,,,,
A000811,,,,,,,
A000812,,,,,,,
A000813,,,,,,,
A000814,,,,,,,
A000815,,,,,,,
A000816,,,,,,,
A000817,,,,,,,
A000818,,,,,,,
A000819,,,,,,,
A000820,,,,,,,
A000822,,,,,,,
A000823,,,,,,,
A000824,,,,,,,
A000825,,,,,,,
A000826,,,,,,,
A000827,,,,,,,
A000828,,,,,,,
A000829,,,,,,,
A000830,,,,,,,
A000831,,,,,,,
A000832,,,,,,,
A000833,,,,,,,
A000834,,,,,,,
A000835,,,,,,,
A000837,,,,,,,
A000838,,,,,,,
A000839,,,,,,,
A000840,,,,,,,
A000841,,,,,,,
A000842,,,,,,,
A000843,,,,,,,
A000844,,,,,,,
A000845,,,,,,,
A000846,,,,,,,
A000847,,,,,,,
A000848,,,,,,,
A000849,,,,,,,
A000850,,,,,,,
A000851,,,,,,,
A000852,,,,,,,
A000853,,,,,,,
A000854,,,,,,,
A000855,,,,,,,
A000856,,,,,,,
A000857,,,,,,,
A000858,,,,,,,
A000859,,,,,,,
A000860,,,,,,,
A000861,,,,,,,
A000862,,,,,,,
A000863,,,,,,,
A000864,,,,,,,
A000865,,,,,,,
A000866,,,,,,,
A000867,,,,,,,
A000868,,,,,,,
A000869,,,,,,,
A000870,,,,,,,
A000871,,,,,,,
A000872,,,,,,,
A000873,,,,,,,
A000874,,,,,,,
A000875,,,,,,,
A000876,,,,,,,
A000877,,,,,,,
A000878,,,,,,,
A000880,,,,,,,
A000881,,,,,,,
A000882,,,,,,,
A000883,,,,,,,
A000884,,,,,,,
A000885,,,,,,,
A000886,,,,,,,
A000887,,,,,,,
A000888,,,,,,,
A000889,,,,,,,
A000890,,,,,,,
A000891,,,,,,,
A000892,,,,,,,
A000893,,,,,,,
A000894,,,,,,,
A000895,,,,,,,
A000896,,,,,,,
A000897,,,,,,,
A000898,,,,,,,
A000899,,,,,,,
A000900,,,,,,,
A000901,,,,,,,
A000902,,,,,,,
A000903,,,,,,,
A000904,,,,,,,
A000905,,,,,,,
A000906,,,,,,,
A000907,,,,,,,
A000908,,,,,,,
A000909,,,,,,,
A000910,,,,,,,
A000911,,,,,,,
A000912,,,,,,,
A000913,,,,,,,
A000914,,,,,,,
A000915,,,,,,,
A000916,,,,,,,
A000917,,,,,,,
A000918,,,,,,,
A000919,,,,,,,
A000920,,,,,,,
A000921,,,,,,,
A000922,,,,,,,
A000923,,,,,,,
A000924,,,,,,,
